acid,epoxide,tg_md
Cc1ccc(N2C(=O)c3ccc(C(=O)Nc4cc(C(=O)O)cc(C(=O)O)c4)cc3C2=O)c(C)c1,COc1ccc(N2CCN(C(=O)Nc3ccc(C(=O)N(CC4CO4)CC4CO4)cc3)CC2)cc1,496.5482
COC(=O)c1ccccc1NC(=O)Cn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O,CC(C)(C)C(=O)Nc1ccccc1C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,533.5190
CN(C)C(=O)c1cccc(NC(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)c1,CC(NC(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1cccc2ccccc12,498.7821
COC(=O)c1ccc2c(c1)CN(C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1)C2,CNC(=O)c1ccc(Cn2c(=O)n(CC3CO3)c(=O)n(CC3CO3)c2=O)cc1,503.9282
O=C(O)CCn1c(=O)n(CCCCN2C(=O)c3ccccc3C2=O)c(=O)n(CCC(=O)O)c1=O,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)C1CCN(C(=O)Nc2ccccc2)CC1,535.6903
O=C(O)c1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccc(C(=O)O)cc4C3=O)n1)C2=O,O=C(NCCN1Cc2ccccc2C1)C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,529.2135
O=C(O)CCn1c(=O)n(CCCCN2C(=O)c3ccccc3C2=O)c(=O)n(CCC(=O)O)c1=O,NC(=O)c1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)o1,551.0355
Cc1cc(N2C(=O)c3ccc(C(=O)O)cc3C2=O)ccc1N1C(=O)c2ccc(C(=O)O)cc2C1=O,O=C(CNc1ccccc1C(=O)N1CCCC1)N(CC1CO1)CC1CO1,541.5500
O=C(O)c1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccc(C(=O)O)cc4C3=O)c1)C2=O,CC(C)c1cccc(CC2CO2)c1NC(=O)c1ccc(OCC2CO2)cc1,522.8940
O=C(Nc1ccc(O)c(C(=O)O)c1)c1ccc(C(=O)Nc2ccc(O)c(C(=O)O)c2)cc1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccoc1,536.6724
O=C(Nc1ccc(C(=O)O)c(O)c1)c1ccc(C(=O)Nc2ccc(C(=O)O)c(O)c2)cc1,O=C(Cc1ccc(O)cc1)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,531.7147
O=C(O)c1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cccc(C(=O)O)c2)C3=O)c1,O=C(CNc1ccc(C(=O)N2CCc3ccccc32)cc1)N(CC1CO1)CC1CO1,518.7695
CC(C)C(NC(=O)C(=O)Nc1ccc(C(=O)O)c2ccccc12)C(=O)O,O=C(Cn1c(=O)n(CC2CO2)c(=O)n(CC2CO2)c1=O)Nc1ccc2ccccc2c1,556.7581
O=C(O)c1cc(NC(=O)c2ccc3c(c2)C(=O)N(Cc2ccccc2)C3=O)cc(C(=O)O)c1,CC1(NC(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)CC1,563.4585
COc1ccc(NC(=O)NC(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,COC(=O)c1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,554.8871
O=C(O)c1ccc(C(=O)c2ccc3c(c2)C(=O)N(c2ccc(O)c(C(=O)O)c2)C3=O)cc1,Cc1cccc(N2CCN(C(=O)Nc3ccc(C(=O)N(CC4CO4)CC4CO4)cc3)CC2)c1,539.9510
