acid,epoxide,tg
CNC(=O)Cc1ccccc1NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O,O=C(O)c1cncc(NC(=O)c2cccc(OCC3CO3)c2OCC2CO2)c1,422.9421
COC(=O)c1ccc(NC(=O)N(CCCOCC(=O)O)CCOCC(=O)O)nc1,COc1ccc(NC(=O)c2cccc(NC(=O)C(=O)N(CC3CO3)CC3CO3)c2)cn1,423.0787
O=C(O)CC(NCc1ccccc1OCc1ccccc1)C(=O)O,O=C(COCC1CO1)NCCOCC1CO1,333.7241
CCOc1cccc(NC(=O)Nc2ccc(COCC(=O)O)c(COCC(=O)O)c2)c1,O=C(Cc1cc2ccccc2c(OCC2CO2)n1)NCCc1ccc(OCC2CO2)cc1,393.8988
COCc1ccc(CNC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)cc1,CCCCCCCCCc1cc(OCC2CO2)ccc1OCC1CO1,328.7321
Cc1ccc(C(=O)O)cc1NC(=O)CCC(=O)O,COC(=O)c1ccc(CNC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)nc1,405.1927
O=C(O)COCCN(CCOCC(=O)O)C(=O)Nc1cccc(NC(=O)C2CCCCC2)c1,CNC(=O)c1cccc(NC(=O)C=Cc2ccc(OCC3CO3)c(OCC3CO3)c2)c1C,386.9074
CCN(Cc1ccc(OC)c(OC)c1)C(=O)CN(CCCOCC(=O)O)CCOCC(=O)O,C=CCCCCNC(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,299.5802
CCOc1ccc(C(=O)N2CCCCC2)cc1NC(=O)C(CCC(=O)O)CCC(=O)O,O=C(NCc1cccc(COCc2ccccc2)c1)c1ccc(OCC2CO2)cc1OCC1CO1,375.5569
O=C(O)CCCCCNC(=O)C(=O)NCc1ccccc1OCCC(=O)O,O=C(CN1CCN(C(=O)c2ccc(OCC3CO3)cc2OCC2CO2)CC1)N1CCCC1,341.0115
COc1ccc(NC(=O)NC2(CC(=O)O)CCC2)c(C(=O)O)c1,O=C(COCCC1CO1)NCCCCC1CO1,361.3029
N#Cc1cc(C(=O)O)cn(CC(=O)NCC(=O)O)c1=O,CCc1nc(OCC2CO2)c(C(=O)Nc2cccc(OCC3CO3)c2)cc1C,426.2262
COc1ccc(C(=O)N2CCOCC2)cc1NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O,O=C(Nc1ncccc1OCC1CO1)c1ncccc1OCC1CO1,385.4918
O=C(O)c1cc(Oc2ccc(C3CCCCC3)cc2)cc(C(=O)O)n1,O=C(NCc1ccncc1)Nc1cccc(NC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c1,450.5557
CC(C)(C)OC(=O)c1cccc(CNC(CCC(=O)O)C(=O)O)c1,O=C(NCCCOCCO)c1ccc(OCC2CO2)cc1OCC1CO1,355.1482
CC(C)c1ccc(NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)cc1,CCCOc1ccc(CNC(=O)CN(CCCOCC2CO2)CCOCC2CO2)cc1,338.4645
O=C(O)COCc1ccc(NC(=O)COCC(=O)NCc2cccnc2)cc1COCC(=O)O,Cc1ccc(OCC(C)NC(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,399.985
Cc1nccn1CCCNC(=O)C(CCC(=O)O)CCC(=O)O,O=C(OCC(=O)N1CCC1)c1cc(OCC2CO2)ccc1OCC1CO1,376.902
COCCN(CCOCCC(=O)O)CCC(=O)O,CCc1ccc(OCC2CO2)c(C(=O)N2CCc3ccc(OCC4CO4)cc3C2)c1,320.9988
CCOc1ccccc1CNC(=O)NC(COCC(=O)O)COCC(=O)O,O=C(c1ccc(OCC2CO2)cc1)N1CCN(Cc2ccc(OCC3CO3)cc2)CC1,396.5877
Cc1cc(C)cc(C(=O)NC(COCC(=O)O)COCC(=O)O)c1,CC1CCC(NC(=O)CN2CCN(CC(=O)N(CC3CO3)CC3CO3)CC2)CC1,358.1181
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)c2cc3c(cn2)OCCC3)cc1,Cc1cc(NC(=O)c2ccc(C)c(OCC3CO3)c2OCC2CO2)ccc1C(=O)O,415.2002
CCCN(CC)C(=O)c1ccc(C(=O)Nc2cc(COCC(=O)O)cc(COCC(=O)O)c2)cc1,COc1cccc(C(C)NC(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c1,404.1684
O=C(O)CCN(CCC(=O)O)C(=O)CNc1cccc(OC2CCCC2)c1,N#CCCCC(=O)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,326.687
O=C(O)CCC(CCC(=O)O)C(=O)NCc1cccc2c1OCO2,CN(C)CCCOc1cccc(NC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c1,341.3192
COCC1(O)CCN(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)CC1,O=C(C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1)Nc1cccc(C(=O)Nc2ccccn2)c1,422.1193
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)NCC2(c3ccccc3)CC2)cc1,COCc1cccc(C(=O)Nc2ccc(COCC3CO3)c(COCC3CO3)c2)c1,395.3666
CCCCc1ccc(NC(=O)NC(COCC(=O)O)COCC(=O)O)cc1,CCn1cc(NCc2ccc(OCC3CO3)cc2OCC2CO2)cn1,342.505
CN(CCC(=O)O)c1nnc(Cc2ccc3ccccc3c2)n1CCC(=O)O,COc1cc(CCCNC(=O)Cc2ccccc2OCC2CO2)cc(OC)c1OCC1CO1,341.479
Cc1cc(C(=O)OC(C)(C)C)cc(C(=O)N(CCC(=O)O)CCC(=O)O)c1,CCc1ccc(C(=O)Nc2cc(C(C)=O)ccc2OCC2CO2)c(OCC2CO2)c1,434.0817
Cc1cc(NC(=O)C(=O)Nc2cnn(C(C)(C)C(=O)O)c2)ccc1C(=O)O,CC(C)c1cccc(NC(=O)C(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,398.905
Cc1ccccc1OCCC(=O)N(CCC(=O)O)CCC(=O)O,CC1(C(=O)NCc2ccc(OCC3CO3)cc2OCC2CO2)CCC1,322.5341
O=C(O)COCc1ccc(CCNCc2ccc(COCC(=O)O)o2)cc1,CC(C)c1ccccc1NC(=O)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1,370.8022
O=C(O)c1cccc(NN=Cc2ccc(C(=O)O)c(O)c2)c1,COC(=O)C1CCN(C(=O)COC(=O)c2cc(OCC3CO3)ccc2OCC2CO2)CC1,427.0778
NC(=O)COC1CCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC1,CN(C)c1ccc(NC(=O)C=Cc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,354.7172
O=C(O)Cn1c(=O)c2ccc3c(=O)n(CC(=O)O)c(=O)c4ccc(c1=O)c2c34,O=C(COc1ccc2c(c1)CCC2)NCc1ccc(OCC2CO2)c(OCC2CO2)c1,407.5245
O=C(O)CCC1CCN(c2ccc(C(=O)O)nn2)CC1,CC(C)Oc1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cn1,439.9273
CC(C)c1cccc(NC(=O)CN(CCOCC(=O)O)CCOCC(=O)O)c1,COc1ccc(OCCOC(=O)c2cccc(OCC3CO3)c2OCC2CO2)cc1,318.925
O=C(O)CCCCC(=O)Nc1ccc(C(=O)O)cc1,COC(=O)c1cccc(C(=O)NC(COCC2CO2)COCC2CO2)c1,376.6119
CCC(NC(=O)c1cccc(OCC(=O)O)c1)C(=O)O,O=C(NCc1ccc(OCC2CO2)c(OCC2CO2)c1)c1cncc(N2CCCC2)n1,393.1941
Cc1cc(C)cc(C(=O)NCC(=O)N(CCC(=O)O)CCC(=O)O)c1,CC(=O)OCCCc1cccc(NC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,358.3203
Cc1cc(C(=O)NCC(=O)NCCC(=O)O)cc(C(=O)NCC(=O)NCCC(=O)O)c1,CC(N)CCC(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,393.3549
O=C(O)CCN(CCC(=O)O)C(=O)COC(=O)c1cnn(C2CCC2)c1,O=C(CCCC(=O)OCC1CO1)OCC1CO1,338.1865
CCCc1ccccc1NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O,Cc1cc(C)c(NC(=O)COC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c(C)c1,370.4767
COCc1ccc(NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,O=C(Cc1ccc(OCC2CO2)cc1)NCCNCCCCCC1CO1,331.4289
CC(C)(CCC(=O)O)C(=O)Nc1cccc(C(=O)O)c1,CCc1ccc2c(c1)CCN2C(=O)c1c(OCC2CO2)cccc1OCC1CO1,401.8681
Cn1nc(C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)ccc1=O,COc1cccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c1OC,423.5838
O=C(O)COCC(COCC(=O)O)NCC(=O)NCc1ccc(COc2ccccc2)cc1,Cc1ccnc(N2CCN(C(=O)c3ccc(OCC4CO4)cc3OCC3CO3)CC2)c1,350.0029
CN(CCCOCC(=O)O)Cc1ccccc1OCCCCOCC(=O)O,Cc1cc(OCC2CO2)nc2cc(C(=O)Nc3cccc(OCC4CO4)c3)ccc12,337.4526
Cc1cc(CN(CCC(=O)O)CCC(=O)O)ccc1N(C)C,C(CCCCC1CO1)CCCC1CO1,284.6792
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)COc2ccc3c(c2)CCC(=O)N3)cc1,O=C(C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1)OCC(=O)N1CCCCC1,397.7666
Cc1ccncc1CN1CCC(NC(=O)C(CCC(=O)O)CCC(=O)O)CC1,O=C(NCCOCC1CO1)c1ccc(OCCOCCOCC2CO2)cc1,341.8994
CCCCNc1ccccc1C(=O)NC(COCC(=O)O)COCC(=O)O,COCCn1cc(C(=O)NCc2ccc(OCC3CO3)cc2OCC2CO2)cn1,347.3967
Nc1c(C(=O)O)cnc2ccc(C(=O)O)cc12,O=C(CN1CCCCCC1=O)NCc1ccc(OCC2CO2)c(OCC2CO2)c1,397.3383
CN(C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1)C1CCCCCCC1,COC(=O)c1ccc(OCC2CO2)c(NC(=O)CCc2ccccc2OCC2CO2)c1,388.2255
